Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Funbo,Uppsala kommun,310,96,323,T0538
Funäsdalen,Härjedalens kommun,1 054,263,401,T7828
Furuby,Växjö kommun,383,62,618,T1852
Furudal,Rättviks kommun,446,131,341,T6516
Furulund,Kävlinge kommun,4 669,277,1 686,T3408
Furusjö,Habo kommun,346,63,549,T5252
Fågelfors,Högsby kommun,390,138,283,T2200
Fågelmara,Karlskrona kommun,377,85,444,T2624
Fågelsta,Motala kommun,303,56,541,T1064
Fågelvikshöjden,Värmdö kommun,2 287,579,395,T0166
Fåker,Östersunds kommun,242,59,410,T7830
Fårbo,Oskarshamns kommun,508,87,584,T2204
Fårösund,Region Gotland,815,246,331,T2504
Färgelanda,Färgelanda kommun,1 922,249,772,T4828
Färgens östra strand,Alingsås kommun,302,137,220,T4634
Färila,Ljusdals kommun,1 326,291,456,T7064
Färjestaden,Mörbylånga kommun,6 073,672,904,T2208
Färlöv,Kristianstads kommun,1 550,199,779,T2876
Föllinge,Krokoms kommun,481,174,276,T7836
Förslöv,Båstads kommun,2 390,283,845,T2880
Gagnef,Gagnefs kommun,1 252,365,343,T6528
Gamleby,Västerviks kommun,2 826,361,783,T2212
Gammelgården,Kalix kommun,279,66,423,T8578
Gammelstaden,Luleå kommun,4 836,552,876,T8580
Gantofta,Helsingborgs kommun,1 506,105,1 434,T3412
Garpenberg,Hedemora kommun,483,120,403,T6532
Garphyttan,Örebro kommun,1 543,150,1 029,T5944
Geijersholm,Hagfors kommun,203,31,655,T5668
Gemla,Växjö kommun,1 141,190,601,T1856
Genarp,Lunds kommun,3 000,196,1 531,T3416
Genevad,Laholms kommun,686,83,827,T3936
Gessie villastad,Vellinge kommun,550,54,1 019,T3438
Gesunda,Mora kommun,281,195,144,T6540
Getinge,Halmstads kommun,2 045,239,856,T3940
Getterön,Varbergs kommun,363,131,277,T3942
Gideå,Örnsköldsviks kommun,283,67,422,T7476
Gimo,Östhammars kommun,2 796,329,850,T0540
Gislaved,Gislaveds kommun,10 269,693,1 482,T1484
Gissebo,Jönköpings kommun,226,66,342,T1486
Gistad,Linköpings kommun,301,55,547,T1068
Gladö kvarn,Huddinge kommun,772,141,548,T0178
Glanshammar,Örebro kommun,793,120,661,T5948
Glemmingebro,Ystads kommun,424,55,771,T3424
Glimåkra,Östra Göinge kommun,1 550,208,745,T2884
Glommen,Falkenbergs kommun,1 085,180,603,T3944
Glommersträsk,Arvidsjaurs kommun,216,87,248,T8584
Glumslöv,Landskrona kommun,2 253,131,1 720,T3428
Glömminge,Mörbylånga kommun,357,139,257,T2214
Gnarp,Nordanstigs kommun,1 178,289,408,T7068
Gnesta,Gnesta kommun,6 376,393,1 622,T0752
Gnosjö,Gnosjö kommun,4 472,534,838,T1488
Gonäs,Ludvika kommun,330,120,275,T6544
Granby,Sigtuna kommun,299,52,575,T0188
Graversfors,Norrköpings kommun,628,148,424,T1074
Grebbestad,Tanums kommun,1 923,502,383,T4356
Grebo,Åtvidabergs kommun,1 071,115,931,T1072
Grevie,Båstads kommun,970,192,505,T2888
Grillby,Enköpings kommun,1 109,118,940,T0544
Grimslöv,Alvesta kommun,601,85,707,T1860
Grimstorp,Nässjö kommun,336,50,672,T1492
Grimsås,Tranemo kommun,723,112,646,T4832
Gripenberg,Tranås kommun,271,56,484,T1496
Grisslehamn,Norrtälje kommun,410,454,90,T0168
Gropen,Lekebergs kommun,221,80,276,T6026
Grums,Grums kommun,5 037,512,984,T5676
Grundsund,Lysekils kommun,637,142,449,T4360
Grycksbo,Falu kommun,1 886,327,577,T6552
Gryt,Valdemarsviks kommun,332,286,116,T1076
Grytgöl,Finspångs kommun,323,86,376,T1080
Grythyttan,Hällefors kommun,805,138,583,T5952
Gråbo,Lerums kommun,6 765,557,1 215,T4836
Gräddö,Norrtälje kommun,574,588,98,T0206
Gräfsnäs,Alingsås kommun,399,93,429,T4840
Grängesberg,Ludvika kommun,2 188,249,879,T6556
Grängesberg västra,Ludvika kommun,1 001,154,650,T6554
Gränna,Jönköpings kommun,2 713,177,1 533,T1500
Grännäs,Valdemarsviks kommun,194,16,1 213,T1350
Gränum,Olofströms kommun,254,59,431,T2628
Grästorp,Grästorps kommun,3 084,262,1 177,T5260
Grödby,Nynäshamns kommun,579,106,546,T0364
Grönalid,Vansbro kommun,389,82,474,T6830
"Grönskan, Vedhamn och Baldersnäs",Värmdö kommun,273,191,143,T0118
Gualöv,Bromölla kommun,482,86,561,T2892
Gudhem,Falköpings kommun,434,41,1 059,T5264
Gullbrandstorp,Halmstads kommun,1 776,144,1 233,T3948
Gullbranna,Halmstads kommun,667,61,1 093,T3952
Gulleråsen,Rättviks kommun,370,265,140,T6560
Gullringen,Vimmerby kommun,509,124,411,T2232
Gullspång,Gullspångs kommun,1 567,300,522,T5268
Gunnarskog,Arvika kommun,264,76,347,T5680
Gunnarstorp,Bjuvs kommun,386,42,919,T3432
Gunnebo,Västerviks kommun,1 013,144,704,T2236
Gunsta,Uppsala kommun,689,93,741,T0548
Gusselby,Lindesbergs kommun,272,81,336,T5956
Gustavsberg,Värmdö kommun,24 330,1 417,1 717,T0172
Gusum,Valdemarsviks kommun,1 110,127,874,T1084
Gyttorp,Nora kommun,704,134,525,T5960
Gånghester,Borås kommun,2 511,284,884,T4848
Gårdby,Mörbylånga kommun,261,75,348,T2240
Gårdskär,Älvkarleby kommun,352,122,289,T0552
Gårdstånga,Eslövs kommun,386,47,821,T3436
Gåvsta,Uppsala kommun,544,55,989,T0556
Gäddede,Strömsunds kommun,275,78,353,T7840
Gällivare,Gällivare kommun,10 584,861,1 229,T8596
Gällstad,Ulricehamns kommun,597,96,622,T4852
Gällö,Bräcke kommun,692,120,577,T7844
Gängletorp,Karlskrona kommun,575,107,537,T2630
Gärds Köpinge,Kristianstads kommun,919,114,806,T2896
Gärsnäs,Simrishamns kommun,1 110,110,1 009,T2900
Gävle,Gävle kommun,77 586,4 059,1 912,T7076
Göta,Lilla Edets kommun,1 085,143,759,T4856
Göteborg,Göteborgs kommun,604 829,23 386,2 586,T4368
Götene,Götene kommun,5 078,468,1 085,T5280
Götlunda,Arboga kommun,272,46,591,T6220
Habo,Habo kommun,8 516,596,1 429,T5284
Hackås,Bergs kommun,531,142,374,T7848
Haga,Enköpings kommun,295,37,797,T0558
Hagby,Kalmar kommun,834,269,310,T2244
Hagfors,Hagfors kommun,4 736,635,746,T5688
Hagge,Smedjebackens kommun,288,46,626,T6566
Hakkas,Gällivare kommun,361,128,282,T8600
Halla Heberg,Kungsbacka kommun,1 740,398,437,T3956
Hallabro,Ronneby kommun,244,61,400,T2632
Hallen,Åre kommun,233,90,259,T7852
Hallsberg,Hallsbergs kommun,8 482,976,869,T5964
Hallstahammar,Hallstahammars kommun,9 895,582,1 700,T6224
Hallstavik,Norrtälje kommun,4 784,511,936,T0176
